Gender,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,Approved_Status
Female,,0.375,Unknown,Yes,Undergraduate,Asian,0.875,Yes,No,0.0,Yes,Other,928.0,0,Rejected,Not Approved
Female,25.67,2.21,Yes,Partial,Graduate,Asian,4.0,Yes,No,0.0,No,Indian,188.0,0,Rejected,Not Approved
Female,34.0,4.5,Unknown,Yes,Graduate,Asian,1.0,Yes,No,0.0,Yes,Indian,240.0,0,Rejected,Not Approved
Male,49.0,1.5,Unknown,Yes,HighSchool,Black,0.0,Yes,No,0.0,Yes,Indian,100.0,27,Rejected,Not Approved
Female,62.5,12.75,Yes,Partial,HighSchool,Asian,5.0,Yes,No,0.0,No,Indian,112.0,0,Rejected,Not Approved
Female,31.42,15.5,Unknown,Yes,HighSchool,Asian,0.5,Yes,No,0.0,No,Indian,120.0,0,Rejected,Not Approved
Female,,5.0,Yes,Partial,Graduate,Asian,8.5,Yes,No,0.0,No,Indian,0.0,0,Rejected,Not Approved
Female,52.33,1.375,Yes,Partial,HighSchool,Asian,9.46,Yes,No,0.0,Yes,Indian,200.0,100,Rejected,Not Approved
Female,28.75,1.5,Yes,Partial,HighSchool,Asian,1.5,Yes,No,0.0,Yes,Indian,0.0,225,Rejected,Not Approved
Male,28.58,3.54,Unknown,Yes,HighSchool,White,0.5,Yes,No,0.0,Yes,Indian,171.0,0,Rejected,Not Approved
Female,23.0,0.625,Yes,Partial,Graduate,Asian,0.125,Yes,No,0.0,No,Indian,180.0,1,Rejected,Not Approved
Female,,0.5,Unknown,Yes,HighSchool,White,0.835,Yes,No,0.0,Yes,Other,320.0,0,Rejected,Not Approved
Male,22.5,11.0,Yes,Partial,HighSchool,Asian,3.0,Yes,No,0.0,Yes,Indian,268.0,0,Rejected,Not Approved
Male,28.5,1.0,Unknown,Yes,HighSchool,Asian,1.0,Yes,Yes,29.85,Yes,Indian,167.0,500,Rejected,Not Approved
Female,37.5,1.75,Yes,Partial,HighSchool,White,0.25,Yes,No,0.0,Yes,Indian,164.0,400,Rejected,Not Approved
Female,35.25,16.5,Yes,Partial,HighSchool,Asian,4.0,Yes,No,0.0,No,Indian,80.0,0,Rejected,Not Approved
Female,18.67,5.0,Unknown,Yes,HighSchool,Asian,0.375,Yes,Yes,29.85,No,Indian,0.0,38,Rejected,Not Approved
Female,25.0,12.0,Unknown,Yes,HighSchool,Asian,2.25,Yes,Yes,29.85,Yes,Indian,120.0,5,Rejected,Not Approved
Female,27.83,4.0,Yes,Partial,HighSchool,Asian,5.75,Yes,Yes,29.85,Yes,Indian,75.0,0,Rejected,Not Approved
Female,54.83,15.5,Unknown,Yes,Graduate,Asian,0.0,Yes,Yes,298.51,No,Indian,152.0,130,Rejected,Not Approved
Female,28.75,1.165,Unknown,Yes,HighSchool,Asian,0.5,Yes,No,0.0,No,Other,280.0,0,Rejected,Not Approved
Male,25.0,11.0,Yes,Partial,Graduate,Asian,4.5,Yes,No,0.0,No,Indian,120.0,0,Rejected,Not Approved
Female,40.92,2.25,Yes,Partial,Graduate,Asian,10.0,Yes,No,0.0,Yes,Indian,176.0,0,Rejected,Not Approved
Male,19.75,0.75,Unknown,Yes,HighSchool,Asian,0.795,Yes,Yes,74.63,Yes,Indian,140.0,5,Rejected,Not Approved
Female,29.17,3.5,Unknown,Yes,Graduate,Asian,3.5,Yes,Yes,44.78,Yes,Indian,329.0,0,Rejected,Not Approved
Male,24.5,1.04,Yes,Partial,HighSchool,Black,0.5,Yes,Yes,44.78,No,Indian,180.0,147,Rejected,Not Approved
Female,24.58,12.5,Unknown,Yes,Graduate,Asian,0.875,Yes,No,0.0,Yes,Indian,260.0,0,Rejected,Not Approved
Male,33.75,0.75,Unknown,Yes,HighSchool,White,1.0,Yes,Yes,44.78,Yes,Indian,212.0,0,Rejected,Not Approved
Female,20.67,1.25,Yes,Partial,HighSchool,Asian,1.375,Yes,Yes,44.78,Yes,Indian,140.0,210,Rejected,Not Approved
Male,25.42,1.125,Unknown,Yes,HighSchool,Asian,1.29,Yes,Yes,29.85,No,Indian,200.0,0,Rejected,Not Approved
Female,37.75,7.0,Unknown,Yes,HighSchool,Asian,11.5,Yes,Yes,104.48,Yes,Indian,300.0,5,Rejected,Not Approved
Female,52.5,6.5,Unknown,Yes,HighSchool,Asian,6.29,Yes,Yes,223.88,No,Indian,0.0,11202,Approved,Approved
Female,57.83,7.04,Unknown,Yes,Undergraduate,Asian,14.0,Yes,Yes,89.55,Yes,Indian,360.0,1332,Approved,Approved
Male,20.75,10.335,Unknown,Yes,Undergraduate,Asian,0.335,Yes,Yes,14.93,Yes,Indian,80.0,50,Approved,Approved
Female,39.92,6.21,Unknown,Yes,HighSchool,Asian,0.04,Yes,Yes,14.93,No,Indian,200.0,300,Approved,Approved
Female,25.67,12.5,Unknown,Yes,Undergraduate,Asian,1.21,Yes,Yes,1000.0,Yes,Indian,140.0,258,Approved,Approved
Male,24.75,12.5,Unknown,Yes,Graduate,Asian,1.5,Yes,Yes,179.1,Yes,Indian,120.0,567,Approved,Approved
Male,44.17,6.665,Unknown,Yes,HighSchool,Asian,7.375,Yes,Yes,44.78,Yes,Indian,0.0,0,Approved,Approved
Male,23.5,9.0,Unknown,Yes,HighSchool,Asian,8.5,Yes,Yes,74.63,Yes,Indian,120.0,0,Approved,Approved
Female,34.92,5.0,Unknown,Yes,Graduate,Asian,7.5,Yes,Yes,89.55,Yes,Indian,0.0,1000,Approved,Approved
Female,47.67,2.5,Unknown,Yes,Undergraduate,White,2.5,Yes,Yes,179.1,Yes,Indian,410.0,2510,Approved,Approved
Female,22.75,11.0,Unknown,Yes,HighSchool,Asian,2.5,Yes,Yes,104.48,Yes,Indian,100.0,809,Approved,Approved
Female,34.42,4.25,Unknown,Yes,HighSchool,White,3.25,Yes,Yes,29.85,No,Indian,274.0,610,Approved,Approved
Male,28.42,3.5,Unknown,Yes,Graduate,Asian,0.835,Yes,No,0.0,No,Other,280.0,0,Approved,Approved
Female,67.75,5.5,Unknown,Yes,Graduate,Asian,13.0,Yes,Yes,14.93,Yes,Indian,0.0,0,Approved,Approved
Female,20.42,1.835,Unknown,Yes,HighSchool,Asian,2.25,Yes,Yes,14.93,No,Indian,100.0,150,Approved,Approved
Male,47.42,8.0,Unknown,Yes,Graduate,White,6.5,Yes,Yes,89.55,No,Indian,375.0,51100,Approved,Approved
Female,36.25,5.0,Unknown,Yes,HighSchool,White,2.5,Yes,Yes,89.55,No,Indian,0.0,367,Approved,Approved
Female,32.67,5.5,Unknown,Yes,HighSchool,Asian,5.5,Yes,Yes,179.1,Yes,Indian,408.0,1000,Approved,Approved
Female,48.58,6.5,Unknown,Yes,HighSchool,Asian,6.0,Yes,No,0.0,Yes,Indian,350.0,0,Approved,Approved
Female,39.92,0.54,Yes,Partial,Graduate,Asian,0.5,Yes,Yes,44.78,No,Indian,200.0,1000,Approved,Approved
Female,33.58,2.75,Unknown,Yes,Undergraduate,Asian,4.25,Yes,Yes,89.55,No,Indian,204.0,0,Approved,Approved
Male,18.83,9.5,Unknown,Yes,Graduate,Asian,1.625,Yes,Yes,89.55,Yes,Indian,40.0,600,Approved,Approved
Male,26.92,13.5,Unknown,Yes,HighSchool,Asian,5.0,Yes,Yes,29.85,No,Indian,0.0,5000,Approved,Approved
Male,31.25,3.75,Unknown,Yes,Undergraduate,Asian,0.625,Yes,Yes,134.33,Yes,Indian,181.0,0,Approved,Approved
Male,56.5,16.0,Unknown,Yes,HighSchool,Black,0.0,Yes,Yes,223.88,No,Indian,0.0,247,Approved,Approved
Female,43.0,0.29,Yes,Partial,Undergraduate,Asian,1.75,Yes,Yes,119.4,No,Indian,100.0,375,Approved,Approved
Female,22.33,11.0,Unknown,Yes,Graduate,Asian,2.0,Yes,Yes,14.93,No,Indian,80.0,278,Approved,Approved
Female,27.25,1.665,Unknown,Yes,Undergraduate,Asian,5.085,Yes,Yes,134.33,No,Indian,399.0,827,Approved,Approved
Female,32.83,2.5,Unknown,Yes,Undergraduate,Asian,2.75,Yes,Yes,89.55,No,Indian,160.0,2072,Approved,Approved
Female,23.25,1.5,Unknown,Yes,HighSchool,Asian,2.375,Yes,Yes,44.78,Yes,Indian,0.0,582,Approved,Approved
Male,40.33,7.54,Yes,Partial,HighSchool,Asian,8.0,Yes,Yes,208.96,No,Indian,0.0,2300,Approved,Approved
Male,30.5,6.5,Unknown,Yes,HighSchool,White,4.0,Yes,Yes,104.48,Yes,Indian,0.0,3065,Approved,Approved
Male,52.83,15.0,Unknown,Yes,HighSchool,Asian,5.5,Yes,Yes,208.96,No,Indian,0.0,2200,Approved,Approved
Male,46.67,0.46,Unknown,Yes,Undergraduate,Asian,0.415,Yes,Yes,164.18,Yes,Indian,440.0,6,Approved,Approved
Male,58.33,10.0,Unknown,Yes,HighSchool,Asian,4.0,Yes,Yes,208.96,No,Indian,0.0,1602,Approved,Approved
Female,37.33,6.5,Unknown,Yes,Undergraduate,Asian,4.25,Yes,Yes,179.1,Yes,Indian,93.0,0,Approved,Approved
Female,23.08,2.5,Unknown,Yes,HighSchool,Asian,1.085,Yes,Yes,164.18,Yes,Indian,60.0,2184,Approved,Approved
Female,32.75,1.5,Unknown,Yes,Undergraduate,Asian,5.5,Yes,Yes,44.78,Yes,Indian,0.0,0,Approved,Approved
Male,21.67,11.5,Yes,Partial,HighSchool,Black,0.0,Yes,Yes,164.18,Yes,Indian,0.0,0,Approved,Approved
Male,28.5,3.04,Yes,Partial,Graduate,Asian,2.54,Yes,Yes,14.93,No,Indian,70.0,0,Approved,Approved
Male,68.67,15.0,Unknown,Yes,Graduate,Asian,0.0,Yes,Yes,208.96,No,Indian,0.0,3376,Approved,Approved
Female,28.0,2.0,Unknown,Yes,HighSchool,Asian,4.165,Yes,Yes,29.85,Yes,Indian,181.0,0,Approved,Approved
Female,34.08,0.08,Yes,Partial,Undergraduate,White,0.04,Yes,Yes,14.93,Yes,Indian,280.0,2000,Approved,Approved
Female,27.67,2.0,Unknown,Yes,Graduate,Asian,1.0,Yes,Yes,59.7,No,Indian,140.0,7544,Approved,Approved
Female,44.0,2.0,Unknown,Yes,Undergraduate,Asian,1.75,Yes,Yes,29.85,Yes,Indian,0.0,15,Approved,Approved
Female,25.08,1.71,Unknown,Yes,Graduate,Asian,1.665,Yes,Yes,14.93,Yes,Indian,395.0,20,Approved,Approved
Female,32.0,1.75,Yes,Partial,Graduate,Asian,0.04,Yes,No,0.0,Yes,Indian,393.0,0,Approved,Approved
Male,60.58,16.5,Unknown,Yes,HighSchool,Asian,11.0,Yes,No,0.0,Yes,Indian,21.0,10561,Approved,Approved
Male,40.83,10.0,Unknown,Yes,HighSchool,Asian,1.75,Yes,No,0.0,No,Indian,29.0,837,Approved,Approved
Female,19.33,9.5,Unknown,Yes,HighSchool,Asian,1.0,Yes,No,0.0,Yes,Indian,60.0,400,Approved,Approved
Male,32.33,0.54,Unknown,Yes,Undergraduate,Asian,0.04,Yes,No,0.0,No,Indian,440.0,11177,Approved,Approved
Female,36.67,3.25,Unknown,Yes,HighSchool,Asian,9.0,Yes,No,0.0,Yes,Indian,102.0,639,Approved,Approved
Female,37.5,1.125,Yes,Partial,Undergraduate,Asian,1.5,No,No,0.0,Yes,Indian,431.0,0,Approved,Approved
Male,25.08,2.54,Yes,Partial,Graduate,Asian,0.25,Yes,No,0.0,Yes,Indian,370.0,0,Approved,Approved
Female,41.33,0.0,Unknown,Yes,HighSchool,White,15.0,Yes,No,0.0,No,Indian,0.0,0,Approved,Approved
Female,56.0,12.5,Unknown,Yes,HighSchool,Asian,8.0,Yes,No,0.0,Yes,Indian,24.0,2028,Approved,Approved
Male,49.83,13.585,Unknown,Yes,HighSchool,Asian,8.5,Yes,No,0.0,Yes,Indian,0.0,0,Approved,Approved
Female,22.67,10.5,Unknown,Yes,HighSchool,Asian,1.335,Yes,No,0.0,No,Indian,100.0,0,Approved,Approved
Female,27.0,1.5,Yes,Partial,Graduate,Asian,0.375,Yes,No,0.0,Yes,Indian,260.0,1065,Approved,Approved
Female,25.0,12.5,Unknown,Yes,Graduate,Asian,3.0,Yes,No,0.0,Yes,Other,20.0,0,Approved,Approved
Male,26.08,8.665,Unknown,Yes,Graduate,Asian,1.415,Yes,No,0.0,No,Indian,160.0,150,Approved,Approved
Male,18.42,9.25,Unknown,Yes,HighSchool,Asian,1.21,Yes,Yes,59.7,No,Indian,60.0,540,Approved,Approved
Female,20.17,8.17,Unknown,Yes,Graduate,Asian,1.96,Yes,Yes,208.96,No,Indian,60.0,158,Approved,Approved
Female,47.67,0.29,Unknown,Yes,HighSchool,White,15.0,Yes,Yes,298.51,No,Indian,0.0,15000,Approved,Approved
Male,21.25,2.335,Unknown,Yes,HighSchool,White,0.5,Yes,Yes,59.7,No,Other,80.0,0,Approved,Approved
Male,20.67,3.0,Unknown,Yes,HighSchool,Asian,0.165,Yes,Yes,44.78,No,Indian,100.0,6,Approved,Approved
Male,57.08,19.5,Unknown,Yes,HighSchool,Asian,5.5,Yes,Yes,104.48,No,Indian,0.0,3000,Approved,Approved
Male,22.42,5.665,Unknown,Yes,HighSchool,Asian,2.585,Yes,Yes,104.48,No,Indian,129.0,3257,Approved,Approved
Female,48.75,8.5,Unknown,Yes,HighSchool,Asian,12.5,Yes,Yes,134.33,No,Indian,181.0,1655,Approved,Approved
Female,40.0,6.5,Unknown,Yes,Graduate,White,3.5,Yes,Yes,14.93,No,Indian,0.0,500,Approved,Approved
Female,40.58,5.0,Unknown,Yes,HighSchool,Asian,5.0,Yes,Yes,104.48,No,Indian,0.0,3065,Approved,Approved
Male,28.67,1.04,Unknown,Yes,HighSchool,Asian,2.5,Yes,Yes,74.63,Yes,Indian,300.0,1430,Approved,Approved
Male,33.08,4.625,Unknown,Yes,HighSchool,Asian,1.625,Yes,Yes,29.85,No,Indian,0.0,0,Approved,Approved
Female,21.33,10.5,Unknown,Yes,HighSchool,Asian,3.0,Yes,No,0.0,Yes,Indian,0.0,0,Approved,Approved
Female,42.0,0.205,Unknown,Yes,HighSchool,Asian,5.125,Yes,No,0.0,No,Indian,400.0,0,Approved,Approved
Female,41.75,0.96,Unknown,Yes,Graduate,Asian,2.5,Yes,No,0.0,No,Indian,510.0,600,Approved,Approved
Female,22.67,1.585,Yes,Partial,Graduate,Asian,3.085,Yes,Yes,89.55,No,Indian,80.0,0,Approved,Approved
Female,34.5,4.04,Yes,Partial,HighSchool,White,8.5,Yes,Yes,104.48,Yes,Indian,195.0,0,Approved,Approved
Female,28.25,5.04,Yes,Partial,HighSchool,White,1.5,Yes,Yes,119.4,Yes,Indian,144.0,7,Approved,Approved
Female,33.17,3.165,Yes,Partial,Graduate,Asian,3.165,Yes,Yes,44.78,Yes,Indian,380.0,0,Approved,Approved
Female,48.17,7.625,Unknown,Yes,Graduate,Asian,15.5,Yes,Yes,179.1,No,Indian,0.0,790,Approved,Approved
Female,27.58,2.04,Yes,Partial,Graduate,Asian,2.0,Yes,Yes,44.78,Yes,Indian,370.0,560,Approved,Approved
Female,22.58,10.04,Unknown,Yes,Graduate,Asian,0.04,Yes,Yes,134.33,No,Indian,60.0,396,Approved,Approved
Male,24.08,0.5,Unknown,Yes,HighSchool,Asian,1.25,Yes,Yes,14.93,No,Indian,0.0,678,Approved,Approved
Male,41.33,1.0,Unknown,Yes,HighSchool,White,2.25,Yes,No,0.0,Yes,Indian,0.0,300,Approved,Approved
Female,24.83,2.75,Unknown,Yes,HighSchool,Asian,2.25,Yes,Yes,89.55,No,Indian,,600,Approved,Approved
Male,20.75,10.25,Unknown,Yes,HighSchool,Asian,0.71,Yes,Yes,29.85,Yes,Indian,49.0,0,Approved,Approved
Female,36.33,2.125,Yes,Partial,Graduate,Asian,0.085,Yes,Yes,14.93,No,Indian,50.0,1187,Approved,Approved
Male,35.42,12.0,Unknown,Yes,HighSchool,Asian,14.0,Yes,Yes,119.4,No,Indian,0.0,6590,Approved,Approved
Male,71.58,0.0,,,,Unknown,0.0,No,No,0.0,No,Unknown,,0,Approved,Approved
Female,28.67,9.335,Unknown,Yes,HighSchool,Asian,5.665,Yes,Yes,89.55,No,Indian,381.0,168,Approved,Approved
